date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:42	120/120	---M--	200	added ('OK')	text/plain	date:Wed,%2005%20May%202021%2005:04:38%20GMT	https://votesaveamerica.com/robots.txt		(from )
22:04:42	90795/90795	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2005:04:38%20GMT	https://votesaveamerica.com/forthepeople/	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/forthepeople/index.html	(from )
22:04:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2005%20May%202021%2005:04:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/josephpeha/websites/vote-save-america/www.googletagmanager.com/gtm.05445.delayed	(from https://votesaveamerica.com/forthepeople/)
22:05:01	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20May%202021%2005:04:49%20GMT	http://votesaveamerica.com/	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/index.html	(from https://votesaveamerica.com/forthepeople/)
22:05:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20May%202021%2005:04:50%20GMT	http://s.w.org/	/home/josephpeha/websites/vote-save-america/s.w.org/index.html	(from https://votesaveamerica.com/forthepeople/)
22:05:01	51433/51433	---M-Z	200	added ('OK')	text/css	etag:W/%22607701ad-c8e9%22	https://votesaveamerica.com/wp-includes/css/dist/block-library/style.min.css?ver=5.6	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-includes/css/dist/block-library/style.min40df.css	(from https://votesaveamerica.com/forthepeople/)
22:05:04	90196/90196	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20May%202021%2005:04:49%20GMT	https://votesaveamerica.com/es/forthepeople/	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/es/forthepeople/index.html	(from https://votesaveamerica.com/forthepeople/)
22:05:04	233416/233416	---M-Z	200	added ('OK')	text/css	etag:W/%226090d663-38fc8%22	https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1620104803	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-content/themes/vsa/compiled/main37c4.css	(from https://votesaveamerica.com/forthepeople/)
22:05:04	1460/1460	---M-Z	200	added ('OK')	application/json	date:Wed,%2005%20May%202021%2005:05:02%20GMT	https://votesaveamerica.com/wp-json/wp/v2/pages/5421	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/wp-json/wp/v2/pages/5421.json	(from https://votesaveamerica.com/forthepeople/)
22:05:14	146/146	---M-Z	403	error ('Forbidden')	text/html	date:Wed,%2005%20May%202021%2005:05:09%20GMT	https://votesaveamerica.com/xmlrpc.php?rsd	/home/josephpeha/websites/vote-save-america/votesaveamerica.com/xmlrpc0db0.php	(from https://votesaveamerica.com/forthepeople/)
